,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_date_in_leaf,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6434507369995117,0.06468943379298277,0.0052089691162109375,0.0073665947701281025,-1,0,20,"{'max_depth': -1, 'min_date_in_leaf': 0, 'num_leaves': 20}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
17,0.5443796316782633,0.033893578995468424,0.0,0.0,-1,300,31,"{'max_depth': -1, 'min_date_in_leaf': 300, 'num_leaves': 31}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
16,0.5111315250396729,0.008316002405570705,0.00035079320271809894,0.0004960965048722301,-1,300,25,"{'max_depth': -1, 'min_date_in_leaf': 300, 'num_leaves': 25}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
15,0.4940188725789388,0.00736378504455505,0.0,0.0,-1,300,20,"{'max_depth': -1, 'min_date_in_leaf': 300, 'num_leaves': 20}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
14,0.4783976872762044,0.007364459332376422,0.0052073001861572266,0.007364234546611492,-1,15,40,"{'max_depth': -1, 'min_date_in_leaf': 15, 'num_leaves': 40}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
13,0.5332969029744467,0.09324693186893024,0.0,0.0,-1,15,35,"{'max_depth': -1, 'min_date_in_leaf': 15, 'num_leaves': 35}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
12,0.5663596789042155,0.04963178792060573,0.0,0.0,-1,15,31,"{'max_depth': -1, 'min_date_in_leaf': 15, 'num_leaves': 31}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
11,0.5390865008036295,0.06777151288827994,0.0,0.0,-1,15,25,"{'max_depth': -1, 'min_date_in_leaf': 15, 'num_leaves': 25}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
10,0.5174559752146403,0.03633176545130396,0.005209207534790039,0.00736693194491619,-1,15,20,"{'max_depth': -1, 'min_date_in_leaf': 15, 'num_leaves': 20}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
9,0.46863023440043133,0.02209011863312581,0.0052068233489990234,0.0073635601970353185,-1,5,40,"{'max_depth': -1, 'min_date_in_leaf': 5, 'num_leaves': 40}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
8,0.45883456865946454,0.018838638198961765,0.005207141240437825,0.007364009763419435,-1,5,35,"{'max_depth': -1, 'min_date_in_leaf': 5, 'num_leaves': 35}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
7,0.44443480173746747,0.007363784982800483,0.00520626703898112,0.007362773455863114,-1,5,31,"{'max_depth': -1, 'min_date_in_leaf': 5, 'num_leaves': 31}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
6,0.5835951169331869,0.09103708039193509,0.0,0.0,-1,5,25,"{'max_depth': -1, 'min_date_in_leaf': 5, 'num_leaves': 25}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
5,0.6057407855987549,0.05911390965023731,0.0,0.0,-1,5,20,"{'max_depth': -1, 'min_date_in_leaf': 5, 'num_leaves': 20}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
4,0.6435399850209554,0.0677193414558975,0.0052721500396728516,0.007455946088971198,-1,0,40,"{'max_depth': -1, 'min_date_in_leaf': 0, 'num_leaves': 40}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
3,0.6485389868418375,0.07419160726103927,0.0,0.0,-1,0,35,"{'max_depth': -1, 'min_date_in_leaf': 0, 'num_leaves': 35}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
2,0.6584255695343018,0.03362948863290466,0.0,0.0,-1,0,31,"{'max_depth': -1, 'min_date_in_leaf': 0, 'num_leaves': 31}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
1,0.6810387770334879,0.048862199711641546,0.0,0.0,-1,0,25,"{'max_depth': -1, 'min_date_in_leaf': 0, 'num_leaves': 25}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
18,0.4900821844736735,0.014733301931852235,0.005361477533976237,0.00758227424290785,-1,300,35,"{'max_depth': -1, 'min_date_in_leaf': 300, 'num_leaves': 35}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
19,0.4163371721903483,0.03374690481841197,0.005209287007649739,0.007367044336512219,-1,300,40,"{'max_depth': -1, 'min_date_in_leaf': 300, 'num_leaves': 40}",0.9701492537313433,0.946969696969697,0.9772727272727273,0.964824120603015,0.012910069003896525,1
